path,method,method_reason,container,video_codec,audio_codec,audio_channels,height,hdr,duration_ms,size_gb,subtitle_class,n_text_tracks,header_ms,header_bytes,moov_position,index_source,n_entries,coverage_pct,first_bytes_ms,seek_land_ms,seek_land_offset,t_playable_ms,t_seek_ms,subs_ms,subs_bytes_out,subs_needed_standalone,ok,error
lib2:fbe9aca0,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3027250,1.87,,37,691,998697,,seekhead,27273,100.0,,42,864044899,691,733,,,0,1,
lib2:4fa685e3,transcode,audio codec eac3,matroska,h264,eac3,6,960,none,2566022,2.82,,2,112,325045,,seekhead,2578,99.9,,40,1459365741,112,152,,,0,1,
lib2:b5ea4859,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3400773,2.16,,38,664,915611,,seekhead,24231,100.0,,42,861735636,664,706,,,0,1,
lib2:313137b2,transcode,audio codec ac3,matroska,h264,ac3,6,1080,none,2565152,1.2,,1,136,309567,,seekhead,1985,100.0,,43,604483706,136,179,,,0,1,
lib2:8e474786,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2634688,0.73,,0,217,390839,,seekhead,3665,100.0,,94,360437992,217,311,,,0,1,
lib2:54e99654,transcode,audio codec eac3,matroska,h264,eac3,6,960,none,2554385,3.2,,42,629,955966,,seekhead,25542,99.9,,38,1719190578,629,667,,,0,1,
lib2:e3fe0cef,transcode,video codec mpeg4,avi,mpeg4,ac3,2,480,none,2492000,0.34,,0,8,262144,absent,absent,0,,,,,8,,,,0,1,
lib2:c1d61f5a,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2561935,1.53,,1,108,289740,,seekhead,1106,100.0,,38,799397924,108,146,,,0,1,
lib2:b14f8ef6,transcode,video codec hevc,mov,hevc,aac,6,1080,none,3515520,0.91,,0,277,3256076,end,sample-tables,894,99.9,,43,337931404,277,320,,,0,1,
lib2:16604473,remux,container matroska,matroska,h264,aac,2,384,none,2386720,0.2,,0,91,277844,,seekhead,762,99.8,,52,111612284,91,143,,,0,1,
lib2:15cef11b,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,2730061,0.44,,1,93,297213,,seekhead,1365,99.8,,36,220520113,93,129,,,0,1,
lib2:bea04f6b,transcode,video codec hevc,matroska,hevc,eac3,6,960,none,1786952,0.43,,2,96,307530,,seekhead,1225,99.9,,39,339734614,96,135,,,0,1,
lib2:a250b13c,transcode,audio codec eac3,matroska,h264,eac3,2,1080,none,3343424,3.54,,2,133,339468,,seekhead,3201,100.0,,45,1427479004,133,178,,,0,1,
lib2:685ef24b,transcode,video codec hevc,matroska,hevc,eac3,6,800,none,2904360,0.76,,42,597,1038440,,seekhead,28391,99.9,,38,363664368,597,635,,,0,1,
lib1:a1577b9d,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2783840,3.13,,2,207,325486,,seekhead,2602,100.0,,38,1449859092,207,245,,,0,1,
lib2:f0419cb2,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2628793,0.62,,2,100,307338,,seekhead,1808,100.0,,36,331762175,100,136,,,0,1,
lib2:8e8a8225,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3188896,1.66,,24,498,674788,,seekhead,15278,100.0,,39,736919177,498,537,,,0,1,
lib2:9898632a,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,1303712,0.16,,1,86,494718,,seekhead,709,99.4,,33,162085902,86,119,,,0,1,
lib2:c50b7949,transcode,video codec hevc,matroska,hevc,eac3,6,960,none,1231248,0.41,,2,80,291898,,seekhead,812,99.6,,54,434515348,80,134,,,0,1,
lib2:97f3891c,transcode,audio codec eac3,matroska,h264,eac3,2,1080,none,2641088,2.84,,4,145,587500,,seekhead,2426,100.0,,32,1347138016,145,177,,,0,1,
lib2:cf895497,transcode,video codec hevc,matroska,hevc,eac3,8,1080,none,3102144,2.21,,1,75,294482,,seekhead,1280,99.9,,48,912820758,75,123,,,0,1,
lib2:3c6da828,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,4185974,3.21,,42,489,903307,,seekhead,2978,99.8,,32,1349164678,489,521,,,0,1,
lib2:2e87916b,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,4812683,1.0,,2,206,320190,,seekhead,2281,99.9,,26,220134787,206,232,,,0,1,
lib2:5edcbcac,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,1293568,0.5,,2,131,299876,,seekhead,1425,99.7,,162,499545754,131,293,,,0,1,
lib2:99e5c0e3,transcode,video codec hevc,matroska,hevc,vorbis,2,400,none,3207291,0.22,,0,49,281756,,seekhead,914,99.9,,40,102849978,49,89,,,0,1,
lib2:4bf14a6b,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1260928,0.37,,0,97,294740,,seekhead,1464,99.9,,38,364585739,97,135,,,0,1,
lib2:d20fbdd4,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,1335001,0.22,,1,79,489481,,seekhead,694,99.7,,28,205095279,79,107,,,0,1,
lib2:f6d664f4,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2857632,3.31,,2,121,340192,,seekhead,3177,100.0,,44,1480136587,121,165,,,0,1,
lib2:74265301,transcode,audio codec ac3,matroska,h264,ac3,2,1080,none,4574976,2.07,,0,179,380522,,seekhead,5603,100.0,,36,624081683,179,215,,,0,1,
lib2:cafa9021,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2581407,0.67,,0,230,2041968,end,sample-tables,685,99.6,,43,318223218,230,273,,,0,1,
lib2:42a5b88f,transcode,video codec hevc,matroska,hevc,eac3,2,1078,none,1282369,0.52,,1,157,279372,,seekhead,702,100.0,,47,519386955,157,204,,,0,1,
lib2:5b7fd6cd,transcode,audio codec eac3,matroska,h264,eac3,6,802,none,3524104,4.44,,42,832,1345150,,seekhead,39860,99.9,,45,1652989442,832,877,,,0,1,
lib2:d1a24b5d,transcode,video codec hevc,matroska,hevc,dts,6,1080,none,2739243,3.94,,0,161,422809,,seekhead,3805,100.0,,48,1885292850,161,209,,,0,1,
lib2:cd71135f,transcode,video codec hevc,mov,hevc,aac,6,1080,none,1959072,0.51,,0,116,1750414,end,sample-tables,560,99.9,,34,339086664,116,150,,,0,1,
lib2:23cc591b,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,1325575,0.79,,35,309,608540,,seekhead,12644,99.7,,40,784260243,309,349,,,0,1,
lib2:09584c3f,transcode,video codec hevc,matroska,hevc,eac3,2,1080,none,2562688,0.67,,0,141,360071,,seekhead,2561,100.0,,49,339107111,141,190,,,0,1,
lib2:cf6e3557,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1368800,0.34,,2,116,303161,,seekhead,1551,99.6,,37,311570271,116,153,,,0,1,
lib2:c02aa159,transcode,video codec hevc,matroska,hevc,ac3,6,960,none,3537408,1.3,,39,592,1028406,,seekhead,4175,100.0,,40,415601307,592,632,,,0,1,
lib2:cae6f1b9,remux,container matroska,matroska,h264,aac,2,720,none,1323797,0.35,,1,76,283706,,seekhead,817,99.7,,31,346638056,76,107,,,0,1,
lib2:13de332a,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2685856,1.89,,0,120,288255,,seekhead,1178,99.9,,43,941848284,120,163,,,0,1,
lib2:1be51825,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2547904,0.93,,1,108,294587,,seekhead,1337,99.9,,32,497914551,108,140,,,0,1,
lib2:0a9b602e,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2504383,1.3,,1,131,296447,,seekhead,1415,100.0,,49,730429913,131,180,,,0,1,
lib2:ad7fa4a0,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2599472,0.84,,1,103,294782,,seekhead,1224,99.7,,43,424094147,103,146,,,0,1,
lib2:6471951a,transcode,video codec hevc,mov,hevc,aac,6,872,none,2614120,0.81,,0,216,2621440,faststart,sample-tables,436,99.8,,54,409877474,216,270,,,0,1,
lib2:127e5ae2,transcode,audio codec ac3,matroska,h264,ac3,2,1080,none,2766000,2.77,,10,287,434976,,seekhead,6431,99.9,,54,1344961793,287,341,,,0,1,
lib2:68487af2,transcode,audio codec eac3,matroska,h264,eac3,2,1080,none,2653088,3.1,,4,238,590547,,seekhead,2539,100.0,,137,1598057989,238,375,,,0,1,
lib2:5606a1d6,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,1939563,0.84,,2,170,287361,,seekhead,985,99.6,,42,615501548,170,212,,,0,1,
lib2:dc8a1977,transcode,video codec hevc,matroska,hevc,ac3,2,1080,none,3534160,1.2,,0,204,489314,,seekhead,6931,100.0,,63,438358542,204,267,,,0,1,
lib2:0e010449,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2463878,1.11,,2,146,319777,,seekhead,2251,99.8,,38,613341425,146,184,,,0,1,
lib2:fba3bf27,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2614752,0.82,,0,149,2359296,faststart,sample-tables,436,99.9,,131,403941063,149,280,,,0,1,
lib2:6655a196,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,1309664,0.66,,22,195,453536,,seekhead,1482,99.7,,34,660803109,195,229,,,0,1,
lib2:4dd928d9,transcode,audio codec eac3,matroska,h264,eac3,6,800,none,2712512,2.96,,38,538,914022,,seekhead,24137,99.9,,50,1538567252,538,588,,,0,1,
lib2:67447ab4,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2612891,1.16,,0,178,553263,,seekhead,1319,100.0,,40,640417883,178,218,,,0,1,
lib2:e85f7141,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2610483,0.68,,0,143,2045446,end,sample-tables,693,100.0,,38,340869525,143,181,,,0,1,
lib2:67fe04d3,transcode,video codec hevc,matroska,hevc,aac,2,1080,none,1420109,0.52,,1,59,531022,,seekhead,304,99.6,,28,474994577,59,87,,,0,1,
lib1:54df5b30,transcode,video codec hevc,mov,hevc,aac,6,800,none,5316362,1.38,,0,262,4709703,end,sample-tables,1538,99.9,,135,270858510,262,397,,,0,1,
lib2:35894cd4,transcode,video codec hevc,mov,hevc,aac,6,1080,none,1321779,0.41,,0,94,1572864,faststart,sample-tables,221,100.0,,38,402981377,94,132,,,0,1,
lib2:5999dc36,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3149792,3.71,,2,143,342666,,seekhead,3297,100.0,,61,1522443509,143,204,,,0,1,
lib1:188114c9,transcode,audio codec eac3,matroska,h264,eac3,6,800,none,7312639,10.84,,1,628,864140,,seekhead,25367,100.0,,154,1924441606,628,782,,,0,1,
lib2:23029186,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1276960,0.49,,0,111,296713,,seekhead,1549,100.0,,39,501174219,111,150,,,0,1,
lib2:3b8f4ecf,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2554624,0.97,,0,205,359766,,seekhead,2552,100.0,,158,492101617,205,363,,,0,1,
lib2:e844971f,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2583331,0.67,,0,152,2044362,end,sample-tables,787,99.8,,46,360632344,152,198,,,0,1,
lib2:5fce531d,direct_play,codecs and container acceptable,mov,h264,aac,2,540,none,3563040,1.09,,0,161,2280733,end,sample-tables,3248,100.0,43,169,394189025,204,169,,,0,1,
lib2:f60a9ab2,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2596032,2.61,,2,126,326716,,seekhead,2644,99.9,,55,1274853290,126,181,,,0,1,
lib2:16c5a8c3,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3198496,3.44,,3,237,378186,,seekhead,4608,100.0,,60,1484778990,237,297,,,0,1,
lib2:70c5c342,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,3026708,0.83,,1,97,295031,,seekhead,1314,100.0,,42,365163944,97,139,,,0,1,
lib1:bc966870,transcode,audio codec eac3,matroska,h264,eac3,6,1038,none,6203197,7.73,,5,379,701734,,seekhead,17818,100.0,,30,1679019436,379,409,,,0,1,
lib2:6a276926,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,3102688,1.69,,23,362,663381,,seekhead,15003,99.9,,61,747150278,362,423,,,0,1,
lib2:5ced70d2,transcode,video codec hevc,matroska,hevc,aac,2,1080,none,2648375,1.28,,1,59,272092,,seekhead,553,99.5,,41,685475944,59,100,,,0,1,
lib2:555111a4,transcode,audio codec eac3,matroska,h264,eac3,6,872,none,2903360,3.27,,31,627,1069371,,seekhead,29956,100.0,,55,1507074500,627,682,,,0,1,
lib2:c3a4c07f,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2604128,2.84,,1,131,318823,,seekhead,2362,99.9,,35,1339716189,131,166,,,0,1,
lib1:3038b695,transcode,audio codec eac3,matroska,h264,eac3,6,800,none,7633500,8.69,,36,1498,2395933,,seekhead,78197,100.0,,36,1529563241,1498,1534,,,0,1,
lib2:9f73e425,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,2737780,0.45,,1,88,286816,,seekhead,932,99.8,,35,205599299,88,123,,,0,1,
lib2:28668bd4,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1265431,0.84,,0,118,296641,,seekhead,1543,99.8,,60,875371700,118,178,,,0,1,
lib2:9164955e,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2587242,0.67,,0,205,2370507,end,sample-tables,265,99.9,,46,376581142,205,251,,,0,1,
lib2:8f255237,transcode,audio codec ac3,matroska,h264,ac3,6,1080,none,1117440,0.34,,0,49,270656,,seekhead,376,99.6,,40,360227494,49,89,,,0,1,
lib2:16facee0,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,3184212,0.87,,1,107,305886,,seekhead,1775,100.0,,36,377066510,107,143,,,0,1,
lib2:bfc4d6ee,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2528776,0.79,,0,117,2359296,faststart,sample-tables,422,100.0,,35,401700399,117,152,,,0,1,
lib2:cf95d479,remux,container matroska,matroska,h264,aac,2,1080,none,2567106,1.38,,0,93,289831,,seekhead,1283,100.0,,36,686737790,93,129,,,0,1,
lib2:969a2eba,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2942176,1.93,,24,465,817997,,seekhead,20640,99.9,,41,871311650,465,506,,,0,1,
lib2:adfb743b,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2536032,0.97,,0,204,359046,,seekhead,2533,99.9,,57,494544651,204,261,,,0,1,
lib2:32e6ae66,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2614784,0.82,,0,115,2359296,faststart,sample-tables,436,99.9,,41,405772370,115,156,,,0,1,
lib2:67097b56,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,2550304,1.06,,1,87,298307,,seekhead,1450,99.9,,43,551038999,87,130,,,0,1,
lib2:84eeeafa,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1276067,0.28,,0,89,313892,,seekhead,1229,99.8,,41,283262366,89,130,,,0,1,
