path,method,method_reason,container,video_codec,audio_codec,audio_channels,height,hdr,duration_ms,size_gb,subtitle_class,n_text_tracks,header_ms,header_bytes,moov_position,index_source,n_entries,coverage_pct,first_bytes_ms,seek_land_ms,seek_land_offset,t_playable_ms,t_seek_ms,subs_ms,subs_bytes_out,subs_needed_standalone,ok,error
lib2:4bf14a6b,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,1260928,0.37,,0,71,294740,,seekhead,1464,99.9,,19,364585739,71,90,,,0,1,
lib1:2674439b,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,5818792,3.85,,34,638,1068866,,seekhead,30200,100.0,,57,861708223,638,695,,,0,1,
lib2:6367f593,transcode,video codec hevc,matroska,hevc,eac3,6,1080,none,2559766,2.02,,0,112,298779,,seekhead,1603,99.8,,143,1043508939,112,255,,,0,1,
lib2:56a0eb73,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2965963,3.47,,30,386,687782,,seekhead,15793,100.0,,43,1562951039,386,429,,,0,1,
lib1:40a3f231,transcode,audio codec eac3,matroska,h264,eac3,8,804,none,5501866,16.18,,3,140,366880,,seekhead,3833,99.9,,121,4045768404,140,261,,,0,1,
lib2:a3518a2a,transcode,video codec hevc,matroska,hevc,ac3,6,1080,none,3084170,1.27,,0,116,317618,,seekhead,2251,99.9,,41,629512947,116,157,,,0,1,
lib2:dec6122a,transcode,video codec hevc,mov,hevc,aac,6,1080,none,2567273,0.67,,0,144,2030898,end,sample-tables,713,99.8,,32,346431046,144,176,,,0,1,
lib2:f19b4ad6,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2739965,1.96,,2,250,352185,,seekhead,3634,99.9,,82,962572057,250,332,,,0,1,
lib2:5907eec4,transcode,audio codec eac3,matroska,h264,eac3,6,960,none,3504640,2.85,,24,519,767343,,seekhead,18698,99.9,,50,1139499767,519,569,,,0,1,
lib2:555111a4,transcode,audio codec eac3,matroska,h264,eac3,6,872,none,2903360,3.27,,31,601,1069371,,seekhead,29956,100.0,,22,1507074500,601,623,,,0,1,
lib1:e7a72e40,transcode,audio codec eac3,matroska,h264,eac3,6,1036,none,6248096,7.77,,1,308,599486,,seekhead,14180,100.0,,139,1603565123,308,447,,,0,1,
lib2:c2f74c2a,transcode,audio codec eac3,matroska,h264,eac3,6,1080,none,2563770,2.66,,2,157,344546,,seekhead,3302,100.0,,33,1314644644,157,190,,,0,1,
lib2:4aa8ecd1,transcode,video codec hevc,matroska,hevc,aac,6,1080,none,2705354,0.45,,1,94,311761,,seekhead,1901,99.8,,33,217899569,94,127,,,0,1,
