path,method,method_reason,container,video_codec,audio_codec,audio_channels,height,hdr,duration_ms,size_gb,subtitle_class,n_text_tracks,header_ms,header_bytes,moov_position,index_source,n_entries,coverage_pct,first_bytes_ms,seek_land_ms,seek_land_offset,t_playable_ms,t_seek_ms,subs_ms,subs_bytes_out,subs_needed_standalone,ok,error
lib2:a8837b08,direct_play,codecs and container acceptable,mov,h264,aac,2,1080,none,1753560,1.58,,0,424,2621440,faststart,sample-tables,457,99.9,51,48,1154131999,475,48,,,0,1,
lib2:bd60dc9a,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1734640,0.22,,1,111,1628417,end,sample-tables,383,99.5,53,73,162536560,164,73,4892,23234,1,1,
lib2:c95cb0d8,direct_play,codecs and container acceptable,mov,h264,aac,2,540,none,3647040,1.12,,0,156,2329173,end,sample-tables,3548,100.0,58,79,394241825,214,79,,,0,1,
lib2:e5530e3d,direct_play,codecs and container acceptable,mov,h264,aac,2,540,none,3634040,1.11,,0,257,2321569,end,sample-tables,3472,100.0,44,84,393812246,301,84,,,0,1,
lib2:86c68a77,direct_play,codecs and container acceptable,mov,h264,aac,2,1080,none,1476011,0.54,,1,96,2097152,faststart,sample-tables,492,99.8,54,32,465974420,150,32,6847,36301,1,1,
lib2:7104a7bb,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1768800,0.23,,1,115,1659529,end,sample-tables,419,99.6,52,61,159803127,167,61,4615,22405,1,1,
lib2:f22d1934,direct_play,codecs and container acceptable,mov,av1,opus,2,1080,none,1650320,1.19,,0,84,1089329,end,sample-tables,162,99.5,64,146,915596199,148,146,,,0,1,
lib2:e8c6875f,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1767040,0.23,,1,181,1661692,end,sample-tables,410,100.0,43,98,161267944,224,98,5002,22469,1,1,
lib2:5fce531d,direct_play,codecs and container acceptable,mov,h264,aac,2,540,none,3563040,1.09,,0,133,2280733,end,sample-tables,3248,100.0,46,8,394189025,179,8,,,0,1,
lib2:0d6e74b0,direct_play,codecs and container acceptable,mov,h264,aac,2,540,none,3537040,1.08,,0,144,2266109,end,sample-tables,3247,100.0,41,91,394188537,185,91,,,0,1,
lib2:5102f2cf,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1741400,0.22,,1,106,1640565,end,sample-tables,399,99.6,62,84,159063493,168,84,5518,25404,1,1,
lib2:0393e761,direct_play,codecs and container acceptable,mov,av1,opus,2,1080,none,1764333,1.27,,0,90,1146377,end,sample-tables,173,99.4,52,202,925401808,142,202,,,0,1,
lib2:9f84ed5b,direct_play,codecs and container acceptable,mov,h264,aac,2,572,none,6622000,0.68,,0,177,3646000,end,sample-tables,2493,99.9,44,91,132397259,221,91,,,0,1,
lib2:04349088,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1762040,0.23,,1,202,1652238,end,sample-tables,411,99.8,52,82,161873943,254,82,4253,23377,1,1,
lib2:e07f09a7,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1748840,0.22,,1,111,1641651,end,sample-tables,391,99.5,42,87,161331199,153,87,5178,24228,1,1,
lib2:80d11a21,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1696120,0.22,,1,201,1599363,end,sample-tables,405,99.9,45,85,159221265,246,85,4446,21574,1,1,
lib2:8a10254b,direct_play,codecs and container acceptable,mov,h264,aac,2,1080,none,1517013,0.55,,1,109,2097152,faststart,sample-tables,506,99.9,46,42,473635285,155,42,7184,41225,1,1,
lib1:2eff6149,direct_play,codecs and container acceptable,mov,h264,aac,2,1080,none,7200064,2.29,,0,360,5146689,end,sample-tables,1030,99.9,46,86,409763839,406,86,,,0,1,
lib2:200b2143,direct_play,codecs and container acceptable,mov,h264,aac,2,540,none,3585040,1.1,,0,136,2293597,end,sample-tables,3369,100.0,40,115,394157733,176,115,,,0,1,
lib1:e34dafea,direct_play,codecs and container acceptable,mov,h264,aac,2,800,none,6715215,2.13,,0,241,4800900,end,sample-tables,1406,99.9,145,298,395070371,386,298,,,0,1,
lib2:5e1bdb68,direct_play,codecs and container acceptable,mov,av1,opus,2,1080,none,1728240,1.24,,0,107,1128321,end,sample-tables,170,99.7,57,97,922672809,164,97,,,0,1,
lib2:f2ebef41,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1737480,0.22,,1,103,1635870,end,sample-tables,390,99.5,65,87,160922856,168,87,4597,26077,1,1,
lib2:ea47b8e0,direct_play,codecs and container acceptable,mov,h264,aac,2,720,none,1753800,0.23,,1,103,1643015,end,sample-tables,396,99.6,40,107,152664727,143,107,5240,23646,1,1,
lib2:5a724514,direct_play,codecs and container acceptable,mov,h264,aac,2,1080,none,2727637,0.8,,0,335,3206603,end,sample-tables,551,100.0,51,270,361544776,386,270,,,0,1,
