path,container,ok,index_source,n_entries,first_pts_ms,last_pts_ms,duration_ms,coverage_pct,bytes_read,n_reads,index_ms,moov_position,size_gb,fallback_ms,fallback_entries,error
lib2:f2becf87,matroska,1,seekhead,2121,0,2568566,2570016,99.9,312453,2,232,,2.94,71129,-1,
lib2:b8d3169a,matroska,1,seekhead,13353,0,2840000,2841184,100.0,620212,3,360,,2.16,61300,1451,
lib2:08046b07,matroska,1,seekhead,3443,0,2863110,2869367,99.8,787703,4,431,,0.56,21127,766,
lib2:502bafa7,mp4,1,sample-tables,264,0,2632588,2636800,99.8,2471646,4,205,end,0.69,18191,264,
lib1:d4aa8cdc,matroska,1,seekhead,2411,0,6910570,6911296,100.0,320606,2,206,,11.39,261128,1625,
lib2:6d427960,matroska,1,seekhead,922,0,1349682,1353696,99.7,285990,2,124,,0.18,7081,299,
lib2:89030c7b,mp4,1,sample-tables,412,0,2468466,2469968,99.9,2359296,4,156,faststart,0.79,20157,412,
lib2:b265cb1c,matroska,1,seekhead,732,0,2577116,2580161,99.9,278216,2,80,,1.09,28462,732,
lib2:33e713ef,mp4,1,sample-tables,741,0,2578075,2584043,99.8,2031414,4,147,end,0.67,21816,723,
lib2:72c4e264,matroska,1,seekhead,2175,0,2350598,2352640,99.9,669931,3,314,,0.5,14581,519,
lib2:ad2f0a58,matroska,1,seekhead,28459,0,3355352,3355840,100.0,1029104,4,607,,2.87,74207,1677,
lib2:d8179027,mp4,1,sample-tables,264,0,2632546,2637120,99.8,2435523,4,177,end,0.68,18239,264,
lib2:708076a6,matroska,1,seekhead,10698,0,1351475,1353664,99.8,553507,3,288,,0.99,32559,777,
lib2:738a93bc,matroska,1,seekhead,1193,0,1315314,1317120,99.9,291480,2,80,,1.49,42142,658,
lib2:982ce719,matroska,1,seekhead,1974,5,2856984,2858027,100.0,330551,2,116,,0.71,20925,721,
lib2:31c76e42,matroska,1,seekhead,1506,0,2542498,2546432,99.8,300152,2,112,,1.49,37321,621,
lib2:30843b9a,matroska,1,seekhead,1970,0,2574864,2579296,99.8,306867,2,91,,0.56,17408,673,
lib2:57bcc971,matroska,1,seekhead,21905,0,2832000,2833200,100.0,854119,4,459,,2.3,54411,1417,
lib2:f749912c,mp4,1,sample-tables,302,0,3013009,3019926,99.8,2741055,4,165,end,0.78,18570,302,
lib2:41ed6763,mp4,1,sample-tables,553,0,2516597,2518645,99.9,2392908,4,141,end,0.65,19864,522,
