path,container,ok,index_source,n_entries,first_pts_ms,last_pts_ms,duration_ms,coverage_pct,bytes_read,n_reads,index_ms,moov_position,size_gb,fallback_ms,fallback_entries,error
lib2:e74d6385,matroska,1,seekhead,1647,0,2436854,2438564,99.9,302395,2,88,,1.27,,,
lib2:ad6c8b7b,matroska,1,seekhead,20077,0,3197583,3199936,99.9,799944,4,432,,2.31,,,
lib2:84eeeafa,matroska,1,seekhead,1229,0,1274106,1276067,99.8,313892,2,81,,0.28,,,
lib2:913f1aaa,matroska,1,seekhead,712,0,1326325,1331008,99.6,519966,2,84,,0.23,,,
lib1:41f83a12,matroska,1,seekhead,11801,0,6352679,6363008,99.8,585684,3,333,,13.55,,,
lib2:8e985fd7,matroska,1,seekhead,3672,0,3141138,3142998,99.9,396887,2,123,,2.45,,,
lib2:52f611e2,matroska,1,seekhead,5495,0,3443649,3448064,99.9,1005102,4,537,,0.87,,,
lib2:96067dc1,matroska,1,seekhead,11016,0,1317733,1318080,100.0,562321,3,281,,0.7,,,
lib2:dad45d8d,matroska,1,seekhead,4990,0,3706583,3708608,99.9,1055860,5,573,,0.89,,,
lib2:0fd13d09,matroska,1,seekhead,1303,0,1398320,1400880,99.8,296246,2,62,,1.11,,,
lib2:0f5a91fe,mp4,1,sample-tables,262,0,2557263,2563222,99.8,2350991,4,246,end,0.67,,,
lib2:7c14af88,matroska,1,seekhead,1930,0,1726000,1727776,99.9,310223,2,110,,1.89,,,
lib2:a250b13c,matroska,1,seekhead,3201,0,3342000,3343424,100.0,339468,2,112,,3.54,,,
lib2:6af091de,matroska,1,seekhead,1647,0,1359358,1361235,99.9,304056,2,86,,0.99,,,
lib2:20833c98,matroska,1,seekhead,1218,0,2718799,2724042,99.8,293673,2,88,,0.44,,,
lib2:a9555ec7,mp4,1,sample-tables,167,0,1693200,1701880,99.5,1115125,4,170,end,1.22,,,
lib2:287f8f9e,matroska,1,seekhead,1307,0,2184917,2190219,99.8,295567,2,93,,0.96,,,
lib2:1aab19c6,mp4,1,sample-tables,883,0,3513801,3515563,99.9,3258560,4,167,end,0.91,,,
lib2:06d1d55b,matroska,1,seekhead,429,5,1100396,1103424,99.7,271780,2,55,,0.33,,,
lib2:6d427960,matroska,1,seekhead,922,0,1349682,1353696,99.7,285990,2,76,,0.18,,,
lib2:0ca62644,matroska,1,seekhead,1372,0,2721469,2725630,99.8,294305,2,208,,0.66,,,
lib2:7d74e655,matroska,1,seekhead,1720,0,2611108,2612245,100.0,305953,2,105,,0.4,,,
lib2:dbaa1e38,matroska,1,seekhead,1149,0,2930928,2932992,99.9,291385,2,80,,2.09,,,
lib2:d3b3934c,matroska,1,seekhead,24460,0,2544167,2546976,99.9,926513,4,539,,3.18,,,
lib1:dbf4540f,matroska,1,seekhead,7100,0,7918000,7918112,100.0,434484,2,208,,7.94,,,
lib2:37e6f2b8,matroska,1,seekhead,39012,0,3426173,3429468,99.9,1310720,5,838,,4.3,,,
lib2:a9bec144,matroska,1,seekhead,1535,0,2681178,2683200,99.9,297319,2,79,,1.66,,,
lib2:3362d492,matroska,1,seekhead,1168,0,2403080,2407274,99.8,291174,2,72,,0.25,,,
lib2:960d70f2,matroska,1,seekhead,22719,0,2794000,2900672,96.3,875397,4,514,,2.08,,,
lib2:784fa1ff,matroska,1,seekhead,2703,0,2569317,2569818,100.0,331602,2,217,,1.01,,,
lib2:4e9f7618,matroska,1,seekhead,26454,0,2910000,2911296,100.0,974215,4,606,,3.39,,,
lib2:71852862,matroska,1,seekhead,2314,0,2631120,2633136,99.9,322385,2,83,,0.93,,,
lib2:0457373e,matroska,1,seekhead,631,0,3000292,3003587,99.9,275658,2,66,,0.21,,,
lib2:d2a06a04,matroska,1,seekhead,9971,43,2286043,2286634,100.0,536163,3,319,,0.72,,,
lib2:3c43e4f4,matroska,1,seekhead,2551,0,2644766,2648766,99.8,590855,3,123,,3.14,,,
lib2:00b85858,matroska,1,seekhead,3635,0,2634632,2636064,99.9,390191,2,118,,0.88,,,
lib2:6f0b13be,mp4,1,sample-tables,660,0,2565938,2567615,99.9,2507082,4,114,end,0.67,,,
lib2:c3d2e4fd,matroska,1,seekhead,433,21,2450594,2469029,99.3,269929,2,51,,1.29,,,
lib2:0315bd73,matroska,1,seekhead,2802,0,3034493,3037632,99.9,829208,4,442,,0.79,,,
lib2:752f533b,matroska,1,seekhead,2850,0,2991113,2992128,100.0,336582,2,105,,2.57,,,
lib1:574fc3e0,matroska,1,seekhead,1002,0,5193230,5194816,100.0,280593,2,55,,6.56,,,
lib2:65929f3c,matroska,1,seekhead,692,0,1304595,1308516,99.7,489539,2,73,,0.2,,,
lib1:bc966870,matroska,1,seekhead,17818,0,6200903,6203197,100.0,701734,3,372,,7.73,,,
lib2:a5a8ecd6,matroska,1,seekhead,1458,67,677811,678157,99.9,293345,2,68,,0.51,,,
lib2:eaa03e57,matroska,1,seekhead,2411,0,3951640,3955659,99.9,323855,2,113,,1.7,,,
lib2:0dd5e740,other,0,,,,,,,,,,,0.34,,,unrecognised container
lib2:6b2455c3,matroska,1,seekhead,3540,0,2518516,2519776,99.9,386341,2,144,,0.85,,,
lib2:1087592a,matroska,1,seekhead,410,5,1138339,1142464,99.6,271387,2,53,,0.34,,,
lib2:b49c3b9c,matroska,1,seekhead,692,0,1325574,1329328,99.7,286933,2,59,,0.58,,,
lib2:1d683b22,matroska,1,seekhead,2925,0,2522520,2523563,100.0,334488,2,128,,2.99,,,
lib2:4bf14a6b,matroska,1,seekhead,1464,0,1260259,1260928,99.9,294740,2,96,,0.37,,,
lib2:5bc348a2,matroska,1,seekhead,2630,0,2640000,2643072,99.9,593046,3,136,,1.68,,,
lib2:977c9327,mp4,1,sample-tables,788,0,2412743,2413620,100.0,1905450,4,99,end,0.63,,,
lib2:52940a2e,matroska,1,seekhead,1837,0,3400105,3403570,99.9,307677,2,109,,0.77,,,
lib2:c194b813,matroska,1,seekhead,710,0,2352850,2361366,99.6,274904,2,151,,3.27,,,
lib1:188114c9,matroska,1,seekhead,25367,0,7312013,7312639,100.0,864140,4,530,,10.84,,,
lib2:55510ac0,matroska,1,seekhead,3962,0,3006003,3006304,100.0,435084,2,159,,4.36,,,
lib2:bca8af41,mp4,1,sample-tables,500,0,1783440,1783786,100.0,1617798,4,99,end,0.46,,,
lib2:00402ecb,matroska,1,seekhead,23716,0,1996369,1999392,99.8,895569,4,604,,2.49,,,
lib2:9faf1153,mp4,1,sample-tables,455,0,1743360,1745760,99.9,2621440,4,414,faststart,1.94,,,
lib2:ca288df6,matroska,1,seekhead,4372,0,3191055,3191381,100.0,371459,2,124,,2.43,,,
lib2:569db06b,matroska,1,seekhead,1270,0,2565208,2566464,100.0,293149,2,102,,0.71,,,
lib2:26c96d42,matroska,1,seekhead,309,0,1415060,1420155,99.6,531134,3,64,,0.48,,,
lib2:10a499d3,matroska,1,seekhead,6452,0,1297296,1299520,99.8,439805,2,289,,0.85,,,
lib2:e93e286d,matroska,1,seekhead,2877,0,2808000,2809080,100.0,332375,2,123,,2.79,,,
lib2:0c4106ce,matroska,1,seekhead,17498,0,3256000,3257056,100.0,731453,3,403,,1.83,,,
lib2:f7a1b09c,matroska,1,seekhead,3302,0,1711001,1712086,99.9,348137,2,134,,1.18,,,
